Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
11,33,52,Jun 1,NYM,@,SDP,W7-0,GS-8,W(6-4),5,8.0,2,0,0,0,8,0,0,2.41,25,105,72,21,13,6,11,7,1,0,86,,,0,0,0,25,0,0,0,1,0,0,.40,0.238,3.53,35.60,20.00,1b start a 2,8b 3 out a7
12,34,58,Jun 7,NYM,@,ARI,W6-3,GS-7,W(7-4),5,7.0,5,3,2,3,10,0,0,2.42,29,109,67,16,19,7,9,7,1,0,64,,,0,0,0,25,1,0,0,1,1,1,1.22,0.136,0.41,29.75,19.00,1b start a 1,7b 3 out a2
13,35,63,Jun 13,NYM,,ATL,L3-5,GS-7,,5,7.0,5,1,1,1,9,1,0,2.33,28,102,76,17,15,9,9,5,1,0,71,,,0,0,0,25,1,0,0,1,0,2,.99,0.220,2.15,25.75,15.00,1t start tie,7t 3 out d1
14,36,69,Jun 19,NYM,@,ATL,L1-2,GS-8,L(7-5),5,7.333,4,2,2,1,3,0,0,2.34,27,97,64,15,9,13,10,3,1,0,64,,,0,1,0,25,1,0,0,0,0,1,1.26,0.262,2.46,13.70,8.33,1b start tie,8b 1-3 1 out a1
15,37,74,Jun 25,NYM,@,MIL,W2-0,GS-8,W(8-5),5,8.0,4,0,0,0,7,0,0,2.15,27,100,77,15,13,9,11,5,2,0,81,,,0,0,0,27,1,0,0,1,0,0,1.09,0.516,3.71,31.20,19.00,1b start tie,8b 3 out a2
16,38,80,Jul 2,NYM,,CHC,L1-6,GS-6,L(8-6),6,5.333,7,4,3,2,2,1,0,2.30,25,115,75,18,6,8,13,2,4,0,40,,,0,0,0,22,0,0,0,0,0,0,1.14,-0.220,-1.54,1.60,4.33,1t start tie,6t --- 1 out d3
17,39,86,Jul 8,NYM,@,SFG,W4-1,GS-8,W(9-6),5,8.0,2,0,0,1,10,0,0,2.14,28,99,70,18,15,7,10,3,1,0,87,,,0,0,0,26,1,0,0,0,0,1,1.09,0.513,3.68,39.60,22.00,1b start tie,8b 3 out a2
18,40,94,Jul 21,NYM,@,WSN,W7-2,GS-6,W(10-6),12,6.0,3,2,2,0,8,1,0,2.18,20,82,61,14,16,6,6,2,0,0,66,,,0,1,0,20,1,0,0,0,0,0,.92,-0.005,0.84,25.90,16.00,1b start tie,6b 3 out d1
19,41,99,Jul 26,NYM,,LAD,W3-2,GS-8,,4,7.667,2,0,0,2,8,0,0,2.05,27,113,75,14,16,9,8,2,2,0,81,,,0,0,0,25,0,0,0,0,0,0,1.01,0.444,3.30,30.85,15.67,1t start tie,8t -2- 2 out a2
20,42,104,Aug 1,NYM,,WSN,W3-2,GS-6,,5,6.0,6,2,2,1,7,0,0,2.09,25,117,78,21,9,10,7,3,1,0,58,,,0,0,0,24,0,0,0,0,0,0,.95,0.037,0.70,16.30,11.00,1t start tie,6t 3 out d1
21,43,109,Aug 7,NYM,@,TBR,W4-3,GS-7,,5,6.333,6,2,2,0,7,2,0,2.13,24,108,77,16,12,4,13,6,0,0,60,,,0,0,0,24,2,0,0,1,0,0,.82,-0.081,0.61,17.05,11.33,1b start tie,7b -2- 1 out d1
22,44,114,Aug 12,NYM,,COL,W3-0,GS-7,W(11-6),4,7.0,2,0,0,4,10,0,0,2.02,27,103,69,17,19,8,5,2,1,0,79,,,1,0,0,22,1,0,0,0,0,0,1.15,0.387,3.15,37.35,21.00,1t start tie,7t 3 out a2
23,45,119,Aug 18,NYM,@,BAL,W5-3,GS-8,W(12-6),5,7.667,5,1,1,1,6,1,0,1.98,28,100,70,12,13,13,8,2,2,0,70,,,0,0,0,27,1,0,0,0,0,0,.99,0.378,2.74,25.25,16.67,1b start a 1,8b 1-- 2 out a2
24,46,124,Aug 24,NYM,@,PHI,W16-7,GS-3,,5,2.667,8,7,6,3,3,3,0,2.29,19,83,50,12,11,4,9,7,0,0,16,,,0,0,0,16,1,0,0,0,0,1,.69,-0.469,-6.06,-9.60,-0.33,1b start tie,3b 12- 2 out d5
25,47,129,Aug 29,NYM,,BOS,L1-3,GS-6,L(12-7),4,6.0,4,2,2,2,10,0,0,2.32,25,109,74,19,18,9,4,3,0,0,64,,,0,0,0,23,1,0,0,0,0,1,1.28,0.004,0.70,24.70,14.00,1t start tie,6t 3 out d2
26,48,134,Sep 4,NYM,@,MIA,L5-6,GS-6,,5,6.0,9,3,3,0,4,0,0,2.40,27,98,71,14,10,12,11,6,3,0,46,,,0,0,0,25,3,0,0,0,1,0,.91,-0.092,-0.33,4.70,7.00,1b start tie,6b 3 out d1
27,49,139,Sep 9,NYM,@,WSN,W5-3,GS-7,W(13-7),4,7.0,5,2,2,2,9,1,0,2.40,27,102,70,16,21,9,7,4,1,0,66,,,0,0,0,25,2,0,0,0,0,0,.77,0.084,1.31,27.75,18.00,1b start tie,7b 3 out d1
28,50,145,Sep 15,NYM,,MIA,L3-9,GS-5,L(13-8),5,5.0,10,6,6,0,5,0,0,2.64,22,86,59,18,9,8,9,7,1,0,28,,,0,2,0,20,3,0,0,0,2,0,1.14,-0.366,-3.75,-2.75,4.00,1t start tie,5t 3 out d5
29,51,156,Sep 27,NYM,@,CIN,W8-1,GS-6,W(14-8),11,6.0,5,1,1,0,9,0,0,2.60,23,96,71,20,10,6,8,5,1,0,67,,,0,0,0,23,1,0,0,0,0,0,.45,0.155,1.79,27.50,18.00,1b start a 1,6b 3 out a7
30,52,162,Oct 4,NYM,,WSN,W1-0,GS-4,,6,4.0,0,0,0,2,7,0,0,2.54,14,72,49,10,16,3,2,1,1,0,67,,,1,0,0,12,0,0,0,0,0,0,.81,0.205,1.80,23.00,11.00,1t start tie,4t 3 out tie
