Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,23,2,Apr 8,NYM,@,WSN,L1-2,GS-6,L(0-1),99,6.0,6,2,2,2,6,1,0,3.00,26,92,64,16,12,8,10,5,3,0,56,,,0,0,0,24,2,0,1,0,0,0,.80,0.060,0.84,14.30,10.00,1b start tie,6b 3 out d1
2,24,7,Apr 13,NYM,,PHI,W2-0,GS-7,W(1-1),4,6.333,7,0,0,1,3,0,0,1.46,26,99,64,15,9,12,10,4,1,0,61,,,0,0,0,24,0,0,0,1,0,0,1.27,0.272,2.29,15.85,13.33,1t start tie,7t 12- 1 out a1
3,25,12,Apr 18,NYM,,MIA,W5-4,GS-7,W(2-1),4,7.0,6,0,0,0,8,0,0,0.93,26,101,69,16,13,11,7,2,1,0,73,,,0,1,0,25,0,0,0,0,0,0,.99,0.334,3.15,28.55,19.00,1t start tie,7t 3 out a5
4,26,17,Apr 24,NYM,@,NYY,L1-6,GS-5,L(2-2),5,5.0,8,6,6,2,2,3,0,2.96,24,84,55,16,3,4,16,5,1,0,27,,,0,0,0,21,0,0,0,0,1,0,.40,-0.297,-3.55,-6.35,1.00,1b start tie,5b 3 out d6
5,27,23,Apr 30,NYM,,WSN,L2-8,GS-6,L(2-3),5,5.333,5,5,3,2,4,0,0,3.34,24,93,60,19,7,8,10,7,0,0,44,,,0,0,0,21,1,0,0,0,1,1,1.22,-0.363,-3.16,8.00,6.33,1t start tie,6t 12- 1 out d3
6,28,28,May 6,NYM,,BAL,W5-1,GS-7,W(3-3),5,7.0,6,1,1,1,9,0,1,2.95,29,105,72,13,19,14,4,2,2,0,69,,,2,0,0,27,0,0,0,1,0,0,1.03,0.259,2.15,27.95,19.00,1t start tie,7t 3 out a4
7,29,32,May 11,NYM,@,CHC,L3-4,GS-5,L(3-4),4,5.0,5,4,4,4,5,2,1,3.46,24,97,57,14,10,6,8,5,0,0,42,,,0,1,0,18,0,0,1,0,0,0,.59,-0.240,-1.72,6.65,6.00,1b start tie,5b 3 out d3
8,30,37,May 16,NYM,,MIL,W14-1,GS-6,W(4-4),4,6.0,5,1,1,1,6,0,0,3.21,23,100,65,15,8,6,10,6,0,0,63,,,0,0,0,21,0,0,0,0,1,0,.60,0.210,1.70,21.50,15.00,1t start tie,6t 3 out a10
9,31,42,May 21,NYM,,STL,W5-0,GS-8,W(5-4),4,8.0,1,0,0,0,11,0,0,2.75,25,104,79,20,16,7,7,4,2,0,91,,,0,0,0,25,0,0,0,0,0,0,.85,0.482,3.60,42.80,23.00,1t start tie,8t 3 out a2
10,32,47,May 26,NYM,,PHI,W5-4,GS-8,,4,7.333,6,2,2,0,9,0,0,2.71,27,105,77,24,13,8,10,6,1,0,67,,,0,0,0,27,0,0,0,1,0,0,.78,0.268,2.74,23.30,14.33,1t start tie,8t 12- 1 out a3
